종목명,우대법령,조문내역,활용내용,해당1,해당2,해당3,해당4,해당5,해당6,해당7,해당8,우선순위1,우선순위2,우선순위3,우선순위4,우대분류,중처법대상
건축설비산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건축시공기술사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건축일반시공기능장,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건축일반시공산업기사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건축전기설비기술사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
건축품질시험기술사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
게임그래픽전문가,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
게임기획전문가,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
게임프로그래밍전문가,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
공장관리기술사,공무원임용시험령,"제31조자격증소지자등에대한우대(별표12), 제27조경력경쟁채용시험등의응시자격등(별표7,별표8)","6급이하공무원채용시험가산대상자격증, 경력경쟁채용시험등의응시",인사우대,인사우대,,,,,,,,,인사우대,,인사우대,
